company,Education,experience,industry,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,Degree_PG,Degree_UG
Maharaja Games,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",3 - 8 yrs,IT Software Services,91015500804,"Mumbai , Mumbai",Technical Lead,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Bicnet Infoservices Private Limited,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 6 yrs,IT Software Services,1.21E+11,"Mumbai , Mumbai",Linux Administrator,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Ambuja Cements Ltd,"Any Graduate PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,Construction,1.01E+11,"Mumbai , Mumbai",Communication Officer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Future Group,"B.Sc PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,Banking,81215500678,Mumbai,Assistant Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Manupatra Information Solutions Pvt Ltd,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 4 yrs,IT Software Services,91015501126,"Bengaluru , Bengaluru / Bangalore , Chennai , Mumbai",Assistant Manager Sales,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Hurix Systems Private Limited,"B.Sc, B.Tech/B.E. PostgraduateMCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,IT Software Services,1.10E+11,mumbai/pune,Software Engineer / Sr. Software Engineer – Windows 8,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Bajaj Electricals Ltd,"B.B.A PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 8 yrs,Food,90915500816,"Nagpur , Mumbai , Pune , Ahmedabad",TERRITORY SALES INCHARGE,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
iDigitalise,"Any Graduate PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 4 yrs,Advertising,70915500064,"Mumbai , Mumbai",Senior PHP Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Directi,Any Graduate PostgraduatePost Graduation Not Required,0 - 5 yrs,Banking,1.11E+11,Mumbai,"Lead - Talent Acquisition, Media.net",1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Flying Cursor Interactive,"BCA PostgraduateMCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,Advertising,1.21E+11,"Mumbai , Mumbai",Digital Media Planner and Executive,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
IRIS Business Services India Pvt Ltd,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 10 yrs,IT Software Services,91015500747,"Mumbai , Mumbai",JAVA Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
CorpCampus Technologies,"Any Graduate PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 10 yrs,IT Software Services,1.31E+11,Mumbai,SSE/Lead,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Atos Pvt Ltd,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",3 - 8 yrs,IT Software Services,91015500931,"Mumbai , Mumbai , Pune",Capacity/Availability Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
GoOutsource,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 3 yrs,Recruitment,1.11E+11,"Mumbai , Mumbai",Data Operator Fulfillment,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Plancess Edusolutions Pvt. Ltd,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",4 - 6 yrs,Education,90715500452,"Mumbai , Mumbai",Python Programmer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Allied Digital Services Ltd.,"Diploma PostgraduateMCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 9 yrs,IT Software Services,1.11E+11,Mumbai,Installation Engineer for Integrated Solutions Group (ISG),1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Netmagic Solutions Pvt. Ltd.,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 4 yrs,IT-Hardware & Networking,90715500164,"Mumbai , mumbai",Monitoring Engineer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
ValueFirst Digital Media Pvt. Ltd,B.Tech/B.E. - Any Specialization PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specializatio,2 - 6 yrs,Media,1.11E+11,"Mumbai , Bengaluru","Hiring Media Sales Professionals, Mumbai & Bangalore",2,"3,00,000 - 7,50,000 P.A",12/29/15,Post Graduate,Under Graduate
Nielsen Research Ltd. Co.,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 6 yrs,IT Software Services,81015500625,"Mumbai , Mumbai","Manager, Consumer Insights",1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Atos Pvt Ltd,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",5 - 7 yrs,IT Software Services,91015501041,"Mumbai , Mumbai",Consultant,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
HEADHUNTERS HR PVT. LTD.,Any Graduate,5 - 10 yrs,Banking,1.21E+11,Mumbai,Java Professionist,1,"5,50,000 - 15,50,000 P.A",12/29/15,,
Harjai Computers Pvt Ltd,Any Graduate,3 - 6 yrs,IT Software Services,1.21E+11,"Mumbai , Navi Mumbai",Need ADF Developer for Navi Mumbai. Please Call : Tanuja: 7738003925,1,Not Disclosed by Recruiter,12/29/15,,
Teach For India,"Any Graduate PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Req",1 - 2 yrs,Social Services,70313500025,Mumbai,Graphic Designer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
IMRB International,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 5 yrs,IT Software Services,51215500466,"Mumbai , India - Mumbai",Insights Director,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Powersoft IT PVT LTD.,"Any Graduate PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 3 yrs,IT Software Services,1.31E+11,Mumbai,ASP.net,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Cyberindigo Net Private Limited,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",1 - 2 yrs,IT Software Services,91115500050,"Mumbai , Pune",Mobile Application Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Future Group,"B.Sc PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 8 yrs,Retail,80715501946,Mumbai,Assistant Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Torque Pharmaceuticals Pvt. Ltd.,Any Graduate,3 - 8 yrs,Biotech,1.21E+11,"Bengaluru , Chennai , Hyderabad , Mumbai , Ranchi , Ludhiana , Gorakhpur , Lucknow , Dehradun",Asstt./depot Manager,1,Not Disclosed by Recruiter,12/29/15,,
3Leads Resources India Pvt. Ltd.,Any Graduate,5 - 10 yrs,Legal,1.11E+11,Mumbai,iOS Developer Lead_34,1,Not Disclosed by Recruiter,12/29/15,,
WisdmLabs,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,IT Software Services,90715500475,"Mumbai , Mumbai",Quality Assurance Specialist / Manual Test Engineer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Lite Placement Solutions,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 10 yrs,Biotech,90715503417,"Mumbai , Mumbai",Group Product Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
1Lotus Marketing Research Services,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,Analytics,1.31E+11,Mumbai,Project Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Gratitude India,Graduation Not Required PostgraduatePost Graduation Not Required,1 - 5 yrs,BPO,1.11E+11,"Bengaluru , Mumbai , Pune",GET Placed IN TOP 50 Mnc's! SAL UPTO 50K+ CAL ANSH 09860051629,1,"2,00,000 - 5,50,000 P.A. Best in the Industry & Excellent Incentives!",12/29/15,Post Graduate,
The Nielsen Company,B.Tech/B.E. PostgraduatePost Graduation Not Required,1 - 2 yrs,Security / Law Enforcement,1.21E+11,Mumbai,Research Executive,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
ASAPP Media Pvt Ltd,Any Graduate PostgraduatePost Graduation Not Required,1 - 3 yrs,Publishing,1.01E+11,"Mumbai , Mumbai",Executive Space selling (Online),1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
ARYATECH ENGINEERING & CONSULTANCY,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",8 - 13 yrs,Chemicals,1.01E+11,Mumbai,Commissioning Engineers,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Brandmovers,"Any Graduate PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Req",2 - 7 yrs,Advertising,1.11E+11,"Mumbai , Mumbai",Sr. Graphic Designer/Illustrator,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Tribhovandas Bhimji Zaveri,"B.Com PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 6 yrs,Banking,1.21E+11,Mumbai,Product Executive Watches,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Oil Field Warehouse & Services,"B.Com PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,Other,71215500107,Mumbai,Data Entry Operators,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Teach For India,"Any Graduate PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Req",1 - 3 yrs,Social Services,1.11E+11,"City , Recruitment , Selection , Matriculation and Alumni Impact - Pune/Mumbai",Executive Associate to the Senior Director,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Kaarya Facilities & Services Pvt. Ltd,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 9 yrs,Recruitment,1.11E+11,Mumbai,Property Manager (For Residential Property),1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Pioneer Investcorp Ltd,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 6 yrs,Banking,1.31E+11,"Mumbai , Mumbai",Institutional Sales – Private Equity / M&A,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Multi Commodity Exchange of India Ltd,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 6 yrs,Construction,71215500574,Mumbai,"Manager / Assistant Manager, Warehousing - Audit / Inspection",1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
VSM software pvt ltd,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT Software Services,1.01E+11,"Mumbai , Mumbai",Business Analyst- Mobility,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
The Nielsen Company,B.Tech/B.E. PostgraduatePost Graduation Not Required,8 - 10 yrs,IT Software Services,1.01E+11,"Mumbai , IN-MH-Greater Mumbai-Mumbai","Manager, Consumer Insights",1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Blue Star Infotech Ltd,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",3 - 5 yrs,IT Software Services,60215500198,Mumbai,Dotnet Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Reverse Thought Creative Studio Pvt. Ltd.,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT Software Services,91015500909,"Mumbai , Mumbai",Social Media Internship,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
VISHLESHAN SOFTWARE SOLUTIONS,"B.Tech/B.E. PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 2 yrs,IT Software Services,91015500988,"Mumbai , Mumbai",Recruiter,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
RINALYTICS ADVISORS PVT. LTD.,"B.Tech/B.E. PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 8 yrs,Recruitment,60715501585,"Mumbai , Pune",Manager- Analytics- Retail,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
BITS Pilani,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",6 - 11 yrs,Education,1.31E+11,"Bengaluru , Bengaluru / Bangalore , Chennai , Delhi/NCR , Hyderabad/Secunderabad , Mumbai",Associate Professor (Off-Campus),1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
ESS Distribution Private Limited,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",10 - 15 yrs,IT Software Services,1.11E+11,"Mumbai , Mumbai",Head Of Marketing,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
trivone digital services private limited,"B.Tech/B.E. PostgraduateMCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 4 yrs,Media,1.31E+11,"Mumbai , Mumbai",Social Media Community Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Reverse Thought Creative Studio Pvt. Ltd.,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,IT Software Services,91015500958,"Mumbai , Mumbai",Marketing Partners,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
ELEGENSSE CORPORATION,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",0 - 1 yrs,Construction,1.11E+11,Mumbai,Account & Admin Executive,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Ing Vysya Bank Ltd.,B.Com PostgraduateMBA/PGDM,1 - 2 yrs,Banking,70515500217,Mumbai,Business Development Executive,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
PCDS Infotech (P). Ltd,"B.Sc PostgraduateM.Sc Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,IT Software Services,1.01E+11,"Jaipur , Hyderabad/Secunderabad , Mumbai , Raipur , Bhopal , Jaipur",State Resource Coordinators,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
My Life Care,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,Banking,51215500150,"Mumbai , mumbai",business development channel manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
AryaTech Engineering & Consultancy,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 10 yrs,Energy,1.01E+11,Mumbai,Electrical Design Engineer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Wipro Limited,Any Graduate,5 - 8 yrs,IT Software Services,71215500622,Mumbai,Project Lead .Net,1,Not Disclosed by Recruiter,12/29/15,,
Surpluss,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",4 - 7 yrs,IT Software Services,1.31E+11,Mumbai,Techno Functional Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Pioneer Investcorp Ltd,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 3 yrs,Banking,1.31E+11,"Mumbai , Mumbai",Analyst,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Techcom Technologies Private Limited,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 7 yrs,Banking,1.21E+11,"Patna , Mumbai , Hyderabad , Lucknow , Surat",Sales Executive/Sales Manager/Channel Sales,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
JPMorgan Chase,"B.Tech/B.E. - Any Specialization, Computers PostgraduatePost Graduation Not Required",3 - 5 yrs,IT Software Services,71215500126,Mumbai,CIB Finance & Business Management,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Softon Technologies Ltd,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",2 - 7 yrs,IT Software Services,1.21E+11,"Mumbai , Mumbai",Web/App/Middleware,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
KG Financial Software Pvt Ltd,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 9 yrs,IT Software Services,1.31E+11,"Mumbai , Mumbai",Senior Java Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
CC Commodity Info Services LLP,"Any Graduate PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 4 yrs,IT Software Services,81215500704,"Chennai , Mumbai , Ahmedabad",Sales Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Value Consulting,B.Tech/B.E. PostgraduatePost Graduation Not Required,7 - 12 yrs,IT Software Services,70715500169,Mumbai,WebMethods Senior Programmer Analyst,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Value Consulting,B.Tech/B.E. PostgraduatePost Graduation Not Required,9 - 14 yrs,IT Software Services,70715500160,Mumbai,Webmethod Admin,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Nielsen Research Ltd. Co.,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,IT Software Services,70715500869,Mumbai,"Sr.Executive, MSCI",1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Kahuna Systems,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",2 - 5 yrs,IT Software Services,90715501056,"Mumbai , Pune",Senior Drupal Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Oil Field Warehouse & Services,"B.Com PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 8 yrs,Courier,90715500093,"Mumbai , Navi Mumbai",Documentation Executive,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
OBEROI INTERNATIONAL SCHOOL,"Any Graduate, B.Ed PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate N",2 - 4 yrs,Education,70715502226,"Mumbai , Mumbai",Assistant Teacher,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Value Consulting,B.Tech/B.E. PostgraduatePost Graduation Not Required,2 - 7 yrs,IT Software Services,70715500118,Mumbai,Webmethods with ARIS exp,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
PMaps Assessment,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",0 - 2 yrs,IT Software Services,91115500574,"Delhi , Delhi , Mumbai , Pune",SEO Analyst,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Peppermint Communications Pvt Ltd,"Diploma PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,Advertising,90715500449,"Mumbai , Mumbai",Internships-Design,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
ecentrichr,"B.B.A PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 2 yrs,IT Software Services,70715500826,Mumbai,Photoshop Assistant,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
WisdmLabs,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 5 yrs,IT Software Services,90715500427,"Mumbai , Mumbai",User Interface Designer( UI Designer),1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Renderindia Infotech,"Diploma PostgraduateMCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",4 - 6 yrs,Internet,1.31E+11,"Mumbai , Mumbai",Senior Customer Care Executive,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Witty International School,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 8 yrs,Education,90915500805,Mumbai,Secondary Teachers,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
POWERSOFT IT PVT LTD.,"Any Graduate PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 3 yrs,IT Software Services,1.31E+11,Mumbai,Oracle Forms,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Jet Airways (India) Ltd,Any Graduate PostgraduatePost Graduation Not Required,2 - 7 yrs,BPO,71115500134,Mumbai,Supervisor Rostering,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Nielsen Research Ltd. Co.,"B.Tech/B.E. PostgraduateM.Tech Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 2 yrs,IT Software Services,70715500895,Mumbai,ARC Analyst,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Auto Hangar India Pvt Ltd,Postgraduation,3 - 5 yrs,Retail,1.11E+11,Mumbai,Opening - CRM,1,Not Disclosed by Recruiter,12/29/15,,
"Haptik, Inc",B.Tech/B.E. PostgraduateMCA,0 - 2 yrs,Advertising,91115500533,"Mumbai , Mumbai","Manager, Digital Marketing",1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Interskale Digital Marketing and Consulting Pvt. Ltd.,"Any Graduate PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Req",3 - 6 yrs,IT Software Services,1.21E+11,"Mumbai , Mumbai","Manager, Client Servicing",1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Jet Airways (India) Ltd,Any Graduate PostgraduatePost Graduation Not Required,0 - 1 yrs,IT Software Services,1.01E+11,"Mumbai , Mumbai",Synthetic Flight Instructor - B737,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Value Consulting,B.Tech/B.E. PostgraduatePost Graduation Not Required,8 - 13 yrs,IT Software Services,70715500204,Mumbai,IT Recruiter,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Renderindia Infotech,"Diploma PostgraduateMCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",1 - 3 yrs,Internet,1.31E+11,"Mumbai , Mumbai",Ecommerce Marketing Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
SNORG Consultants Pvt. Ltd,"Any Graduate PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",8 - 13 yrs,Recruitment,70715500086,"Mumbai , Mumbai",Project Manager - J2EE,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Bloom Systems Pvt. Ltd.,"B.Tech/B.E. PostgraduateMCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 5 yrs,IT Software Services,1.01E+11,"Mumbai , Mumbai",Flex Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Principal Retirement Advisors Pvt. Ltd.,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",5 - 10 yrs,IT Software Services,81015500099,"Jaipur , Mumbai , Chandigarh , Jaipur",Agency Development Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Chemcleanzio (I) Pvt. Ltd,"Any Graduate PostgraduateAny Postgraduate Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",0 - 1 yrs,Construction,1.01E+11,"Mumbai , Vadodara/Baroda",Site Chemists,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Renderindia Infotech,"Diploma PostgraduateMCA Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",10 - 12 yrs,Internet,1.31E+11,"Mumbai , Mumbai",Project Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Multi Commodity Exchange of India Ltd,"Any Graduate PostgraduateMBA/PGDM Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",2 - 4 yrs,IT Software Services,71215500539,Mumbai,Sr. Executive/ Executive Technology (Dot.Net Developer),1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Blue Star Infotech Ltd,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",4 - 6 yrs,IT Software Services,60215500199,Mumbai,Senior SharePoint Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
first Recruits,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",1 - 6 yrs,Recruitment,70715501461,"Mumbai , Mumbai",Senior Business Associate,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
GrayMatrix,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",2 - 5 yrs,IT Software Services,1.31E+11,"Mumbai , Mumbai",iOS Developer,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Future Group,"B.Sc PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Required",3 - 4 yrs,Retail,81215500697,Mumbai,Assistant Manager,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
Mevada Engineering Works Pvt. Ltd.,Any Graduate PostgraduatePost Graduation Not Required,3 - 5 yrs,Industrial Products,60815500139,Mumbai,Sales Administrator,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,
Atos Pvt Ltd,"B.Tech/B.E. PostgraduatePost Graduation Not Required Doctorate:Any Doctorate - Any Specialization, Doctorate Not Requ",2 - 7 yrs,IT Software Services,91015501005,"Mumbai , Mumbai , Pune , Vadodara",Control M L2,1,Not Disclosed by Recruiter,12/29/15,Post Graduate,Under Graduate
